Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
新闻,xīnwén,Noun,news,你看今天的新闻了吗？,Nǐ kàn jīntiān de xīnwén le ma?,Did you watch the news today?,我发现今天的新闻很有意思。,Wǒ fāxiàn jīntiān de xīnwén hěn yǒuyìsi.,I found that the news today is very interesting.
景点,Jǐngdiǎn,Noun,"Attractions, scenic spot, place of interest (tourism)",你最喜欢的景点在哪个国家？,Nǐ zuì xǐhuan de jǐngdiǎn zài nǎge guójiā?,Which country has your favorite attraction?,很多景点我还没去过。,Hěnduō jǐngdiǎn wǒ háiméi qù guò.,There are lots of attractions I have not been to yet.
城市,chéngshì,Noun,city,"你去过的城市,哪个最有意思？","Nǐ qùguò de chéngshì, nǎgè zuì yǒuyìsi?",Which city have you been to is the most interesting?,我最喜欢的城市是热闹的城市。,Wǒ zuì xǐhuan de chéngshì shì rènào de chéngshì.,My favorite city is the city bustling with activities.
建筑,jiànzhù,Noun,building,你觉得哪个国家的建筑最漂亮？,Nǐ juéde nǎgè guójiā de jiànzhù zuì piàoliang?,Which country's architecture do you think is the most beautiful?,这里的建筑很有名。,Zhèlǐ de jiànzhù hěn yǒumíng.,The building here is famous.
季节,jìjié,Noun,season,你喜欢在哪个季节去旅行？,Nǐ xǐhuan zài nǎgè jìjié qù lǚxíng?,In which season do you like to travel?,这个季节很舒服，不太热。,"Zhège jìjié hěn shūfú, bú tài rè.",This season is comfortable and not too hot.
夏天,xiàtiān,Noun,summer,夏天的时候你常做什么？,Xiàtiān de shíhou nǐ cháng zuò shénme?,What do you do in summer?,夏天的时候我喜欢去海边。,Xiàtiān de shíhou wǒ xǐhuan qù hǎibiān.,I like to go to the beach in summer.
排队,páiduì,Verb Object,"to line up , queue up",这家店很有名，常常需要排队。,"Zhè jiā diàn hěn yǒumíng, chángcháng xūyào páiduì.","This restaurant is famous, you need to line up often.","夏天的时候，海边附近的商店常常需要
排队。","Xiàtiān de shíhou, hǎibiān fùjìn de shāngdiàn chángcháng xūyào páiduì.","In summer time, people need to line up often for the shops near a beach."
热闹,rènào,Adj,"bustling with noise and excitement, lively",你喜欢热闹的地方吗？,Nǐ xǐhuan rènào de dìfang ma?,Do you like the place bustling with activities?,我想去热闹的地方旅游。,Wǒ xiǎng qù rènào de dìfang lǚyóu.,I would like to travel to the place bustling with activities.
晒太阳,shài tàiyáng,Verb Object,to bask in the sun,你喜欢去海边晒太阳吗？,Nǐ xǐhuan qù hǎibiān shài tàiyáng ma?,Do you like to have a sunbath on the beach?,"夏天的时候，大家都喜欢去海边晒太
阳。","Xiàtiān de shíhou, dàjiā dōu xǐhuan qù hǎibiān shài tàiyáng.",Everyone likes to have a sunbath on the beach in the summer time.
甜食,tiánshí,Noun,dessert；sweet,你常吃甜食吗？,Nǐ cháng chī tiánshí ma?,Do you eat dessert often?,我家附近有一家店有很好吃的甜食。,Wǒjiā fùjìn yǒu yījiā diàn yǒu hěn hǎo chī de tiánshí.,There is a shop near my house sells delicious dessert.
健康,jiànkāng,Noun/Adj,"health, healthy",要是吃太多甜食，会不健康。,"Yàoshì chī tài duō tiánshí, huì bú jiànkāng.",Eating too many sweets is unhealthy.,要是你要健康的身体，应该要多运动和少吃甜食。,"Yàoshi nǐ yào jiànkāng de shēntǐ, yīnggāi yào duō yùndòng hé shǎo chī tiánshí.","If you want to be healthy, you should exercise more and eat sweets less."
垃圾食物,lājī shíwù,Noun,Junk food,我不常吃垃圾食物。,Wǒ bù cháng chī lājī shíwù.,I do not eat junk food often.,吃太多垃圾食物会不健康。,Chī tài duō lājī shíwù huì bú jiànkāng.,Eating too much junk food is unhealthy.
熬夜,áoyè,Verb Object,to stay up late or all night,因为工作很多，我每天都得熬夜。,"Yīnwèi gōngzuò hěnduō, wǒ měitiān dōu děi áoyè.","Because I have lots of work to do, I have to stay up late every day.",太常熬夜身体会不健康。,Tài cháng áoyè shēntǐ huì bú jiànkāng.,Staying up late often is unhealthy.
去年,qùnián,Noun,last year,去年夏天我常去海边晒太阳。,Qùnián xiàtiān wǒ cháng qù hǎibiān shài tàiyáng.,I went sunbathing frequently on the beach last summer.,"去年因为我有汉语考试，所以我常熬夜
学习。","Qùnián yīnwèi wǒ yǒu Hànyǔ kǎoshì, suǒyǐ wǒ cháng áoyè xuéxí.","Because I had Chinese exam last year, I stayed up late often."
爱,ài,Noun/Verb,"love, to love",我很爱看电影，所以周末常跟朋友或家人去电影院看电影。,"Wǒ hěn ài kàn diànyǐng, suǒyǐ zhōumò cháng gēn péngyou huò jiārén qù diànyǐngyuàn kàn diànyǐng.",I love watching movies therefore I often watch movies in the theater with my friends or family.,他不爱运动，也不爱吃蔬菜水果，所以身体不健康。,"Tā bú ài yùndòng, yě bú ài chī shūcài shuǐguǒ, suǒyǐ shēntǐ bú jiànkāng.","He doesn't like to exercise, eat vegetables and fruits, so he is unhealthy."
减肥,jiǎnféi,Verb Object,to lose weight,"要是你想减肥，多吃健康的食物和多运
动。","Yàoshi nǐ xiǎng jiǎnféi, duō chī jiànkāng de shíwù hé duō yùndòng.","If you want to lose weight, you should eat more healthy food and exercise more.",他觉得自己需要减肥，因为吃太多垃圾食物。,"Tā juéde zìjǐ xūyào jiǎnféi, yīnwèi chī tài duō lājī shíwù.","He thinks he needs to lose weight, because eating too much junk food."
胖,pàng,Adj,fat,我不爱运动， 也不爱吃蔬菜水果，现在我胖了。,"Wǒ bú ài yùndòng, yě bú ài chī shūcài shuǐguǒ, xiànzài wǒ  pàng le.","I don't like to exercise, eat vegetables and fruits. Now I am fat.",我的哥哥最近在减肥，因为他觉得自己太胖了。,"Wǒ de gēge zuìjìn zài jiǎnféi, yīnwèi tā juéde zìjǐ tài pàng le.",My older brother is losing weight recently because he thinks he is too fat.
重要,zhòngyào,Adj,"important, significant, major",身体健康比工作重要，你觉得呢？,"Shēntǐ jiànkāng bǐ gōngzuò zhòngyào, nǐ juéde ne?","Health is more important than work, what do you think?",这件事很重要，你不能忘了。,"Zhè jiàn shì hěn zhòngyào, nǐ bùnéng wàng le.","This is really important, you can’t forget about it."
留学,liúxué,Verb Object,to study abroad,现在有很多人想到国外去留学。,Xiànzài yǒu hěnduō rén xiǎngdào guó wài qù liúxué.,Nowadays there are many people want to study abroad.,我的姐姐去年去中国留学，认识很多中国朋友。,"Wǒ de jiějie qùnián qù Zhōngguó liúxué, rènshi hěnduō Zhōngguó péngyou.",My older sister studied in China last year and made lots of Chinese friends.
友好,yǒuhǎo,Adj,friendly,虽然我不太会说汉语，但是我的中国朋友都很友好。,"Suīrán wǒ bú tài huì shuō Hànyǔ, dànshì wǒ de Zhōngguó péngyou dōu hěn yǒuhǎo.","My Chinese friends are friendly, even though my Chinese is not very good.",你是一个友好的人吗？,Nǐ shì yīgè yǒuhǎo de rén ma?,Are you a friendly person?
封,fēng,Measure word,"Measure word for sealed objects, esp. letters",我写了三封信给我的朋友们。,Wǒ xiě le sān fēng xìn gěi wǒ de péngyoumen.,I wrote three letters  to my friends.,因为我很想我的爸爸妈妈，所以我常写很多封信给他们。,"Yīnwèi wǒ hěn xiǎng wǒ de bàba māma, suǒyǐ wǒ cháng xiě hěnduō fēng xìn gěi tāmen.",I miss my parents very much therefore I wrote many letters to them.
筷子,kuàizi,Noun,chopsticks,很多人不太会用筷子。,Hěnduō rén bú tài huì yòng kuàizi.,Most of the people don't know how to use chopsticks.,中国人常用筷子吃饭。,Zhōngguó rén chángyòng kuàizi chīfàn.,Chinese eats with chopsticks often.
刀叉,dāo chā,Noun,knife and fork,西方人习惯用刀叉吃饭。,Xīfāng rén xíguàn yòng dāo chā chīfàn.,Western are used to eat with a knife and fork.,我不习惯用刀叉吃饭，我习惯用筷子。,"Wǒ bù xíguàn yòng dāo chā chīfàn, wǒ xíguàn yòng kuàizi.","I don’t get used to eating with fork and knife, I get used to eating with chopsticks."
西方,xīfāng,Noun,Western,"我很喜欢西方的音乐，可是我爸妈不喜
欢。","Wǒ hěn xǐhuan xīfāng de yīnyuè, kěshì wǒ bà mā bù xǐhuan.","I like western music very much, but my parents don’t.",现在很多西方人喜欢到中国来旅游。,Xiànzài hěnduō xīfāng rén xǐhuan dào Zhōngguó lái lǚyóu.,"Nowadays, many western like to go travel in China."
口味,kǒuwèi,Noun,"a person's preferences, tastes (in food), flavor",中国菜和韩国菜的口味不一样。,Zhōngguó cài hé Hánguó cài de kǒuwèi bù yíyàng.,Chinese and Korean food tastes different.,我喜欢苹果口味的甜食。,Wǒ xǐhuan píngguǒ kǒuwèi de tiánshí.,I like apple flavor sweets.
差不多,chàbuduō,Adj,"more or less,about the same",每个国家的麦当劳都差不多。,Měi gè guójiā de Màidāngláo dōu chàbuduō.,McDonald’s in every country are almost the same.,"这家咖啡店和我家附近的咖啡店的咖
啡口味差不多。",Zhè jiā kāfēi diàn hé wǒ jiā fùjìn de kāfēi diàn de kāfēi kǒuwèi chàbuduō.,This coffee shop is similar to the coffee shop near my place.
一样,yíyàng,Adj,"same, like, equal to, the same as, just like",他跟他哥哥一样高。,Tā gēn tā gēge yíyàng gāo.,He and his older brother’s height are the same.,中国菜和美国菜一样好吃。,Zhōngguó cài hé Měiguó cài yīyàng hǎo chī.,Chinese food is as delicious as American food.
风,fēng,Noun,wind,今天雨很大，风也很大。,"Jīntiān yǔ hěn dà, fēng yě hěn dà.",It’s windy and raining heavily today.,外面风有点儿大，出门要小心。,"Wàimiàn fēng yǒudiǎn'er dà, chūmén yào xiǎoxīn.","It’s windy outside, you should be careful when you go out."
预报,yùbào,Noun,forecast,你看明天的天气预报了吗？,Nǐ kàn míngtiān de tiānqì yùbào le ma?,Did you watch the weather forecast for tomorrow?,我看天气预报了，今天会很冷。,"Wǒ kàn tiānqì yùbào le, jīntiān huì hěn lěng.",I watched the weather forecast. It will be cold today.
月底,yuèdǐ,Noun,end of the month,听说这个月月底会很冷。,Tīngshuō zhègè yuè yuèdǐ huì hěn lěng.,I heard that it will be very cold in the end of this month.,每个月底我都会去学校考试。,Měi gè yuèdǐ wǒ dūhuì qù xuéxiào kǎoshì.,"At the end of each month, I will have school exam."
湿,shī,Adj,wet,湿冷的天气非常不舒服。,Shīlěng de tiānqì fēicháng bù shūfu.,The humid and cold weather is uncomfortable.,今天忘了带伞出门，所以衣服都湿了。,"Jīntiān wàng le dài sǎn chūmén, suǒyǐ yīfu dōu shī le.","I forgot to bring umbrella today, so my clothes were all wet."
干,gān,Adj,dry,这儿的冬天很干，没有那么冷。,"Zhè'er de dōngtiān hěn gān, méiyǒu nàme lěng.",Winter here is dry and not that cold.,这里的空气很干，我觉得不舒服。,"Zhèlǐ de kōngqì hěn gān, wǒ juéde bù shūfu.",The air here is dry and I feel uncomfortable.
讨厌,tǎoyàn,Verb,"to dislike, annoying",我讨厌下雨天，因为去旅游不方便。,"Wǒ tǎoyàn xiàyǔtiān, yīnwèi qù lǚyóu bù fānɡbiàn.","I don’t like rainy day, because traveling on rainy days is inconvenient.",我的弟弟讨厌吃蔬菜，只喜欢吃肉。,"Wǒ de dìdi tǎoyàn chī shūcài, zhǐ xǐhuan chī ròu.","My younger brother doesn’t like to eat vegetables, he only likes to eat meat."
气温,qìwēn,Noun,temperature,今天气温几度?,Jīntiān qìwēn jǐdù?,What’s the temperature today?,今天的气温很舒服，不冷也不热。,"Jīntiān de qìwēn hěn shūfú, bù lěng yě bú rè.","The temperature today is comfortable, it’s not cold or hot."
冬天,dōngtiān,Noun,winter,"冬天的时候常常下雨,出门很麻烦！","Dōngtiān de shíhou chángcháng xià yǔ, chūmén hěn máfan!","It rains often in the winter, to go out is so troublesome!",我讨厌冬天去旅游，因为要带很多衣服。,"Wǒ tǎoyàn dōngtiān qù lǚyóu, yīnwèi yào dài hěnduō yīfu.",I don't like go travel in the winter because I need to bring a lot of clothes.
打伞,dǎ sǎn,Verb Object,to hold up an umbrella,昨天我帮一位老太太打伞。,Zuótiān wǒ bāng yí wèi lǎo tàitài dǎ sǎn.,I helped an old lady hold up an umbrella yesterday.,下雨了！快打伞吧!,Xià yǔ le! Kuài dǎ sǎn ba!,"It’s raining, let’s holding up an umbrella!"
带,dài,Verb,to bring,我带你去附近的海边看看漂亮的风景吧！,Wǒ dài nǐ qù fùjìn de hǎibiān kàn kàn piàoliang de fēngjǐng ba!,Let me bring you to the beach to see the beautiful view.,她有时候会带两个可爱的女儿去公园玩。,Tā yǒushíhou huì dài liǎng gè kěài de nǚér qù gōngyuán wán.,Sometimes she will take her two adorable daughters to the park and play.
欢迎,huānyíng,Phrase,"to welcome, welcome",我们明天要去海边玩，欢迎你一起来！,"Wǒmen míngtiān yào qù hǎibiān wán, huānyíng nǐ yìqǐlái!","We are going to the beach tomorrow, we welcome you to join us.","这是我们的新同学，大家一起来欢迎
他！","Zhè shì wǒmen de xīn tóngxué, dàjiā
yìqǐlái huānyíng tā！","This is our new classmate, let’s welcome him!"
搬,bān,Verb,"to move (i.e. relocate oneself), to move (something relatively heavy or bulky)",我爸爸妈妈下个月要搬到博物馆旁边的大楼。,Wǒ bàba māma xià gè yuè yào bān dào bówù guǎn pángbiān de dàlóu.,My parents are going to move next month to the building next to the museum.,你打算什么时候要搬来北京住？,Nǐ dǎsuàn shénme shíhou yào bān lái Běijīng zhù?,When do you plan to move to Beijing?
楼,lóu,Noun,"storied building, floor",请拿这些鸡蛋给住在三楼的美美。,Qǐng ná zhèxiē jīdàn gěi zhù zài sān lóu de Měiměi.,"Please take these eggs to Meimei, who lives in the third floor.",不好意思，请问真真咖啡店在几楼？,"Bù hǎo yìsi, qǐngwèn Zhēnzhēn kāfēi diàn zài jǐ lóu?","Excuse me, which floor is the Zhenzhen coffee shop?"
邻居,línjū,Noun,"neighbor, next door","我的邻居是个中国人，他有两个可爱的
女儿。","Wǒ de línjū shìgè Zhōngguó rén, tā yǒu liǎng gè kěài de nǚér.","My neighbor is a Chinese, he has two adorable daughters.","虽然我的邻居八十岁了，但是他还是每
年去旅游。","Suīrán wǒ de línjū bāshí suì le, dànshì tā háishì měinián qù lǚyóu.","Although my neighbor is eighty years old, he still travels every year."
帮忙,bāngmáng,Verb Object,"to help, to do a favor",虽然我很想帮忙，但是我现在没空。,"Suīrán wǒ hěn xiǎng bāngmáng, dànshì wǒ xiànzài méi kòng.","I really want to help, but I don’t have time now.",这几题好难，我需要你的帮忙。,"Zhè jǐ tí hǎo nán, wǒ xūyào nǐ de bāngmáng.","These question is so hard, I need your help."
花,huā,Noun,flower,我看见山上有很多蓝色的小花。,Wǒ kàn jiàn shānshàng yǒu hěnduō lánsè de xiǎo huā.,I have seen that there are lots of blue flowers on the mountain.,这个商店卖的花最美，但是最贵。,"Zhègè shāngdiàn mài de huā zuìměi, dànshì zuì guì.","The flowers which the shop sells are the most beautiful, but most expensive."
扔,rēng,Verb,"to throw, to throw away",谁扔了冰箱里的鸡蛋？,Shéi rēng le bīngxiāng lǐ de jīdàn?,Who threw away the eggs in the fridge?,"因为这些衣服太小了，所以我把他们扔
了。","Yīnwèi zhèxiē yīfu tài xiǎo le, suǒyǐ wǒ bǎ tāmen rēng le.",I threw the clothes away because they were too small.
衣柜,yīguì,Noun,wardrobe,我的衣柜太旧了，我想买一个新的。,"Wǒ de yīguì tài jiù le, wǒ xiǎng mǎi yīgè xīn de.","My wardrobe is too old, I want to buy a new one.",我帮我的邻居搬衣柜。,Wǒ bāng wǒ de línjū bān yīguì.,I helped my neighbor carry his wardrobe.
家具店,jiājù diàn,Noun,furniture store,"我听说在地铁站附近有一家不错的家
具店。",Wǒ tīngshuō zài dìtiězhàn fùjìn yǒu yì jiā búcuò de jiājù diàn.,I heard that there is a nice furniture store near subway station.,"我最喜欢这家家具店，他们的家具质量
都很好。","Wǒ zuì xǐhuan zhè jiā jiājù diàn, tāmen de jiājù zhìliàng dōu hěn hǎo.","I like this furniture store, the furniture here have a good quality ."
床,chuáng,Noun,bed,听说这家家具店卖的床不贵。,Tīngshuō zhè jiā jiājù diàn mài de chuáng bú guì.,I heard that the bed in this furniture store is not expensive.,这张床睡起来很舒服。,Zhè zhāng chuáng shuì qǐlái hěn shūfu.,This bed is comfortable for sleep.
重,zhòng,Adj,heavy,"我的衣柜太重了，得请人来帮我搬上
去。","Wǒ de yīguì tài zhòng le, děi qǐng rén lái bāng wǒ bān shàngqù.","My wardrobe is too heavy, so I have to ask someone for help.",这张床太重了，我一个人搬不上去。,"Zhè zhāng chuáng tài zhòng le, wǒ yīgè rén bān bú shàngqù.","This bed is too heavy, I can’t move it up by my own."
需要,xūyào,Noun/Verb,"to need,to demand, to require, requirement","如果你需要我帮忙，什么时候都可以打
电话给我。","Rúguǒ nǐ xūyào wǒ bāngmáng, shénme shíhou dōu kěyǐ dǎdiànhuà gěi wǒ.",You can call me when you need my help.,我需要一个新的衣柜，这个太小了,"Wǒ xūyào yīgè xīn de yīguì, zhège tài xiǎo le.","I need a new wardrobe, this one is too small."
发,fā,Verb,"to text, to send",我妈妈昨天发了一封短信给我。,Wǒ māma zuótiān fā le yīfēng duǎnxìn gěi wǒ.,My mother sent me a text message yesterday.,我很久没给家人发短信了。,Wǒ hěnjiǔ méi gěi jiārén fā duǎnxìn le.,I did not send text messages to my family for a long time.
短信,duǎnxìn,Noun,text message,我最近不方便接电话，你给我发短信吧！,"Wǒ zuìjìn bù fāngbiàn jiē diànhuà,nǐ gěi wǒ fā duǎn xìn ba!","I can’t answer the phone recently, so you can send text messages.",我明天下午要开会，要是你有事，就给我发短信。,"Wǒ míngtiān xiàwǔ yào kāihuì, yàoshi nǐ yǒu shì, jiù gěi wǒ fā duǎnxìn.","I have a meeting tomorrow afternoon. If you need me, send me text messages."
质量,zhìliàng,Noun,quality,这个包包的质量不错。,Zhègè bāobāo de zhìliàng búcuò.,The quality of this bag is not bad.,质量不错的东西会比较贵。,Zhìliàng búcuò de dōngxi huì bǐjiào guì.,High quality things are more expensive.
记,jì,Verb,"to record, to note, to memorize",上课的东西，我都会记在本子上。,"Shàngkè de dōngxi, wǒ dōu huì jì zài běnzi shàng.","What we learn in class, I take a notes on in my notebook.",我把重要的事情记在本子上。,Wǒ bǎ zhòngyào de shìqíng jì zài běnzi shàng.,I take note of important matters in my notebook.
