老师,lǎoshī,Noun,teacher,我的老师不是中国人。,Wǒ de lǎoshī bú shì Zhōngguó rén.,My teacher is not Chinese.,我不是老师。,Wǒ bú shì lǎoshī.,I am not a teacher.
再见,zàijiàn,Phrase,goodbye,再见！,Zàijiàn.,Goodbye.,再见.明天见!,Zàijiàn. Míngtiān jiàn!,Goodbye. See you tomorrow!
日本,Rìběn,Noun,Japan,他不是日本人。,Tā bú shì Rìběn rén.,He is not a Japanese.,我的老师是日本人。,Wǒ de lǎoshī shì Rìběn rén.,My teacher is a Japanese.
他,tā,Pronoun,"He, him",他累不累?,Tā lèi búlèi?,Is he tired or not?,他不累。,Tā búlèi.,He is not tired.
要,yào,Verb,to want,我要喝咖啡。,Wǒ yào hē kāfēi.,I want to drink coffee.,你要喝中国茶吗？,Nǐ yào hē Zhōngguó chá ma?,Do you want to drink Chinese tea?
喜欢,xǐhuan,Verb,to like,我喜欢中国茶。,Wǒ xǐhuan Zhōngguó chá.,I like Chinese tea,我喜欢美国咖啡。,Wǒ xǐhuan Měiguó kāfēi.,Ｉlike American coffee.
喝,hē,Verb,to drink,我很喜欢喝中国茶。,Wǒ hěn xǐhuan hē Zhōngguó chá.,I really like to drink Chinese tea.,你喜欢喝日本茶吗？,Nǐ xǐhuan hē Rìběn chá ma?,Do you like to drink Japanese tea?
吃,chī,Verb,to eat,你喜欢吃什么？,Nǐ xǐhuan chī shénme?,What do you like to eat?,你喜不喜欢吃美国菜？,Nǐ xǐ bùxǐhuan chī Měiguó cài?,Do you like American food?
咖啡,kāfēi,Noun,coffee,你喜不喜欢喝咖啡？,Nǐ xǐ bùxǐhuan hē kāfēi?,Do you like to drink coffee?,你要喝咖啡吗？,Nǐ yào hē kāfēi ma?,Do you want to drink coffee?
菜,cài,Noun,"dish, cuisine",你喜欢哪国菜？,Nǐ xǐhuan nǎ guó cài?,Which country's food do you like?,你喜欢日本菜吗？,Nǐ xǐhuan Rìběn cài ma?,Do you like Japanese food?
茶,chá,Noun,tea,我很喜欢喝茶。,Wǒ hěn xǐhuan hē chá.,I really like to drink tea.,我喜欢中国茶.,Wǒ xǐhuan Zhōngguó chá.,I like Chinese tea.
口,kǒu,Measure word,measure word for family members,我家有三口人,Wǒ jiā yǒu sān kǒu rén.,There are three people in my family.,他家有五口人。,Tā  jiā  yǒ u wǔ  kǒ u ré n.,There are five people in his family.
个,gè,Measure word,"general measure word, measure word for people",我有两个妹妹。,Wǒ yǒu lǐang gè mèimei.,I have two younger sisters.,我有一个妹妹和一个弟弟。,Wǒ yǒu yı́ gè mèimei hé yı́ gè dìdi.,I have one younger sister and one younger brother.
爸爸,bàba,Noun,father,我的爸爸有一个姐姐。,Wǒ  de bà ba yǒ u yı́ gè jiě jie.,My father has an older sister.,我的爸爸是中国人。,Wǒ de bàba shì Zhōngguó rén.,My father is Chinese.
妈妈,māma,Noun,mother,他的妈妈是玛丽。,Tā  de mā ma shı̀ Mǎlì.,His mother is Mary.,他的妈妈和爸爸都是老师。,Tā de māma hé bàba dōu shì lǎoshī.,His mother and father are both teachers.
哥哥,gēge,Noun,older brother,我有两个哥哥。,Wǒ  yǒ u liǎ ng gè gē ge.,I have two older brothers.,我的哥哥喜欢喝日本茶。,Wǒ de gēge xǐhuan hē Rìběn chá.,My older brother likes to drink Japanese tea.
姐姐,jiějie,Noun,older sister,他的姐姐叫玛丽。,Tā  de jiě jie jià o Mǎlì.,His older sister is called Mary.,他有两个姐姐。,Tā yǒu liǎng gè jiějie.,He has two older sisters.
弟弟,dìdi,Noun,younger brother,你有没有弟弟？,Nǐ yǒu méiyǒu dìdi?,Do you have younger brothers?,我和我弟弟都喜欢吃日本菜。,Wǒ hé wǒ dìdi dōu xǐhuan chī Rìběn cài.,My brother and I both like Japanese dish.
妹妹,mèimei,Noun,younger sister,你的妹妹叫什么名字?,Nǐ de mèimei jiào shénme míngzì?,What is your younger sister's name?,他的妹妹很好看。,Tā de mèimei hěn hǎokàn.,His younger sister is good-looking.
家,jiā,Noun,"home, family",我家有三口人。,Wǒ  jiā  yǒ u sā n kǒ u ré n.,There are three people in my family.,你家有几口人？,Nǐ jiā yǒu jǐ kǒu rén?,How many people are there in your family?
和,hé,Conj,and,我有一个哥哥和一个姐姐。,Wǒ  yǒ u yı́ gè gē ge hé yı́ gè jiě jie.,I have an older brother and an older sister.,我和小程都有姐姐。,Wǒ hé xiǎo chéng dōu yǒu jiějie.,Little Cheng and I both have older sisters.
谁,shéi,Pronoun,who,他是谁?,Tā  shı̀ shé i?,Who is he?,谁是你的老师？,Shéi shì nǐ de lǎoshī?,Who is your teacher?
狗,gǒu,Noun,dog,平安的狗叫奶茶。,Píng'ān de gǒu jiào nǎichá.,Ping An's dog is called Milk Tea.,"我们有一只狗, 他叫来福。","Wǒmen yǒu yì zhī gǒu, tā jiào lái fú.","We have a dog, it is called Lucky."
好看,hǎokàn,Adj,good-looking,我的房子很好看,Wǒ  de fá ngzi hě n hǎ okà n.,My house is good-looking.,他很好看。,Tā hěn hǎokàn.,He is good-looking.
书,shū,Noun,"book, books",我有一本书。,Wǒ  yǒ u yı̀bě n shū .,I have a book.,我喜欢看书。,Wǒ xǐhuan kàn shū.,I like to read books.
兄弟姐妹,xiōngdì jiěmèi,Noun,siblings,美美有三个兄弟姐妹。,Mě imě i yǒ u sā n gè xiō ngdı̀ jiě mè i.,Meimei has there siblings.,你的兄弟姐妹都喜欢吃日本菜吗?,Nǐ de xiōngdì jiěmèi dōu xǐhuan chī Rìběn cài ma?,Do your siblings all like to eat Japanese cuisine?
房子,fángzi,Noun,house,他喜欢他爸爸妈妈的房子。,Tā  xı̌huan tā  bà ba mā ma de fá ngzi.,He likes his parent’s house.,你的爸爸妈妈的房子很好看。,Nǐ de bàba māma de fángzi hěn hǎokàn.,The house of your father and mother is really good-looking.
家人,jiārén,Noun,family member,我和我的家人都喜欢喝咖啡。,Wǒ  hé wǒ  de jiā ré n dō u xı̌huan hē kā fē i.,My family and I all like to drink coffee.,你的家人喜欢什么？,Nǐ de jiārén xǐhuan shénme?,What do your family members like?
介绍,jièshào,Verb,to introduce,请你介绍你的家人。,Qǐng nǐ jièshào nǐ de jiārén.,Please introduce your family.,请介绍你自己。,Qǐng jièshào nǐ zìjǐ.,Please introduce yourself.
漂亮,piàoliàng,Adj,beautiful,你姐姐很漂亮。,Nǐ jiějie hěn piàoliàng.,Your older sister is really beautiful.,他有很多漂亮的照片。,Tā yǒu hěnduō piàoliàng de zhàopiàn.,She has many beautiful pictures.
张,zhāng,Measure word,"a measure word for photograph, picture, paper, table etc.",我有很多张照片。,Wǒ yǒu hěn duō zhāng zhàopiàn.,I have many pictures.,我很喜欢这张照片。,Wǒ hěn xǐhuan zhè zhāng zhàopiàn.,I really like this picture.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
女儿,nǚér,Noun,daughter,我有一个漂亮的女儿。,Wǒ yǒu yí gè piàoliàng de nǚér.,I have a beautiful daughter.,这是我哥哥女儿的猫。,Zhè shì wǒ gēge nǚér de māo.,This cat belongs to the daughter of my older brother.
猫,māo,Noun,cat,他有很多只猫。,Tā yǒu hěnduō zhī māo.,He has many cats.,我妹妹有猫也有狗。,Wǒ  mè imei yǒ u mā o yě  yǒ u gǒ u.,My younger sister has cats and also has dogs.
照片,zhàopiàn,Noun,"pictures, photos",我有很多照片。,Wǒ yǒu hěn duō zhàopiàn.,I have many pictures.,这是谁的照片? 很好看!,Zhè shì shéi de zhàopiàn? Hěn hǎokàn!,Whose picture is it? It’s really good- looking.
多,duō,Adj,"many, more",我有很多书。,Wǒ yǒu hěn duō shū.,I have many books.,我没有很多照片。,Wǒ méiyǒu hěn duō zhàopiàn.,I don't have many pictures.
两,liǎng,Numeral,two,我有两个女儿。,Wǒ yǒu liǎng gè nǚér.,I have two daughters.,他有两张很漂亮的照片。,Tā  yǒ u liǎ ng zhā ng hě n pià olià ng de zhà opià n.,He has two very beautiful photos.
可爱,kěài,Adj,"cute,lovely",他很可爱。,Tā hěn kěài.,She is cute.,他的狗很可爱。,Tā de gǒ u hěn kěài.,His dog is really cute.
块,kuài,Measure word,piece； dollar,我有两块钱。,Wǒ  yǒ u liǎ ng kuài qiá n.,I have two dollars.,这杯咖啡五十块。,Zhè bēi kāfēi wǔshí kuài.,This cup of coffee is fifty dollars.
杯,bēi,Measure word,"cup, cups",我有一杯咖啡。,Wǒ  yǒ u yı̀ bē i kā fē i.,I have a cup of coffee.,那杯茶三十块。,Nà bēi chá sānshí kuài.,That cup of tea is thirty dollars.
瓶,píng,Measure word,"bottle, bottles",我有一瓶牛奶。,Wǒ  yǒ u yı̀ pı́ng niú nǎ i.,I have a bottle of milk.,"一瓶水,多少钱？","Yì píng shuǐ, duōshǎo qián?",How much does a bottle of water cost?
买,mǎi,Verb,buy,我们去买东西。,Wǒ men qù  mǎ i dō ngxi.,Let's go to buy some things.,他买什么东西？,Tā mǎ i shénme dō ngxi?,What does he buy?
钱,qián,Noun,money,那个东西多少钱?,Nà  gè dō ngxi duō shǎ o qiá n?,How much does that thing cost?,这些不是我的钱。,Zhèxiē búshì wǒ de qián.,Those is not my money.
东西,dōngxi,Noun,"thing, things, stuff",这不是我的东西。,Zhè búshì wǒ de dōngxi.,This is not my stuff.,这些东西一共多少钱？,Zhèxiē dōngxi yígòng duōshǎo qián?,How much do those stuff cost?
谢谢,xièxie,Phrase,Thank you,谢谢你!,Xiè xie nı̌!,Thank you!,A: 你的家很漂亮。 B: 谢谢你！,A: Nǐ de jiā hěn piàoliang. B: Xièxie nǐ!,A: Your house is beautiful. B: Thank you!
不客气,búkèqì,Phrase,You're welcome,A: 谢谢你帮忙检查我的文章。 B: 不客气，随时都乐意！,"A: Xièxiè nǐ bāngmáng jiǎnchá wǒ de wénzhāng. B: Bù kèqì, suíshí dōu lèyì!",A: Thanks for checking my essay. B: No problem! Happy to anytime!,,,
些,xiē,Measure word,some,这些东西是谁的?,Zhè xiē dōngxi shì shéi de?,Whose things are these?,这些东西一共多少钱?,Zhè xiē dōngxi yígòng duōshǎo qián?,How much do these things cost all together?
百,bǎi,Noun,hundred,这个东西一百块钱。,Zhègè dōngxi yìbǎi kuài qián.,This thing is one hundred dollars.,你有一百块吗？,Nǐ yǒu yìbǎi kuài ma?,Do you have one hundred dollars?
一共,yígòng,Adv,altogether,"三杯咖啡和一杯茶,一共多少钱？","Sān bēi kāfēi hé yì bēi chá, yígòng duōshǎo qián？",How much for 3 cups of coffee and one cup of tea?,这些东西一共两百块。,Zhè xiē dōngxi yígòng liǎng bǎi kuài.,Those things are 200 dollars altogether.
今天,jīntiān,Noun,today,我今天晚上看电影。,Wǒ  jı̄ntiā n wǎ nshàng kàn diànyı̌ng.,I'll watch a movie tonight.,我们今天七点看电影。,Wǒmen jīntiān qīdiǎn kàn diànyǐng.,We'll watch a movie at 7pm today.
几点,jǐdiǎn,Phrase,What time,现在几点?,Xiànzài jǐdiǎn？,What time is it?,你今天几点做饭？,Nǐ jīntiān jǐdiǎn zuòfàn?,What time do you cook today?
分,fēn,Noun,minute,现在是两点十分。,Xiànzài shì liǎng diǎn shí fēn.,It is ten past two o'clock now.,我今天九点十分有中文课。,Wǒ jīntiān jiǔ diǎn shí fēn yǒu Zhōngwén kè.,I have Chinese class at nine ten this morning.
看,kàn,Verb,"to read, to watch",他喜欢看电影。,Tā xǐhuan kàn diànyǐng.,He likes to watch movies.,你喜欢看什么书？,Nǐ xǐhuan kàn shénme shū?,What books do you like to read?
电影,diànyǐng,Noun,movie,你喜欢看什么电影？,Nǐ xǐhuan kàn shénme diànyǐng?,What movie do you like to watch?,妹妹喜欢看电影。,Mè imei xı̌huan kàn dià nyı̌ng.,My younger sister likes to watch movies.
上网,shàngwǎng,Verb Object,Surf Internet,我喜欢上网。,Wǒ xǐhuan shàngwǎng.,I like to surf the Internet.,"我不常上网,可是我常看书。","Wǒ bùcháng shàngwǎng, kěshì wǒ cháng kànshū.","I don't surf the Internet often, but I often read books."
现在,xiànzài,Noun,now,现在是一点五十五分。,Xiànzài shì yì diǎn wǔshí wǔ fēn.,It’s one fifty-five now.,现在几点?,Xiànzài jǐdiǎn？,What time is it?
半,bàn,Noun,half,现在是六点半。,Xiànzài shì liù diǎn bàn.,Now it is six thirty.,我早上九点半去上课。,Wǒ zǎoshàng jiǔ diǎn bàn qù shàngkè.,I go to class at nine thirty in the morning.
做,zuò,Verb,to do,你喜欢做什么?,Nǐ xǐhuān zuò shénme?,What do you like to do?,你和你的家人喜欢做什么?,Nǐ hé nǐ de jiārén xǐhuān zuò shénme?,What do you and your family like to do?
做饭,zuòfàn,Verb Object,to cook,你喜欢做饭吗？,Nǐ xǐhuan zuò fàn ma?,Do you like to cook?,你几点会做饭？,Nǐ jǐdiǎn huì zuò fàn?,What time will you cook?
吃饭,chīfàn,Verb Object,to eat,你今天几点吃饭？,Nǐ jīntiān jǐdiǎn chīfàn?,What time do you eat today?,他今天十二点吃饭。,Tā jīntiān shí'èr diǎn chīfàn.,He has dinner at twelve o'clock today.
请问,qǐngwèn,Phrase,"Excuse me, may I ask…",请问这个东西多少钱?,Qǐngwèn zhège dōngxi duōshǎo qián?,May I ask about how much does this thing cost?,请问现在几点？,Qǐngwèn xiànzài jǐdiǎn?,"Excuse me, what time is it now?"
饭馆,fànguǎn,Noun,restaurant,这间饭馆好不好？,Zhè  jiān fànguǎn hǎo bùhǎo?,Is this restaurant good or not?,我和我的家人都喜欢这个饭馆。,Wǒ hé wǒ de jiārén dōu xǐhuan zhège fànguǎn.,My family and I all like this restaurant .
服务员,fúwùyuán,Noun,"waiter, waitress",这家饭馆的服务员，人很好。,"Zhè jiā fànguǎn de fúwùyuán, rén hěnhǎo.",The waiter/ waitress from this restaurant is very nice.,这个服务员很漂亮。,Zhège fúwùyuán hěn piàoliang.,This waitress is very pretty.
杯子,bēizi,Noun,cup,我们要两个杯子。,Wǒmen yào liǎng gè bēizi.,We would like to have two cups.,这个杯子多少钱?,Zhège bēizi duōshǎo qián?,How much is this cup?
真,zhēn,Adv,really,你妹妹真漂亮。,Nǐ mèimei zhēn piàoliang.,Your younger sister is really pretty.,这个东西真贵。,Zhège dōngxi zhēn guì.,This thing is really expensive.
点菜,diǎncài,Verb Object,to order food,请服务员来帮我们点菜。,Qǐng fúwùyuán lái bāng wǒmen diǎn cài.,Please ask the waiter to take our order.,请你帮我点菜。,Qǐng nǐ bāng wǒ diǎncài.,Please order for me.
好吃,hǎochī,Adj,tasty/delicious,我妈妈做的饭很好吃。,Wǒ māma zuò de fàn hěn hǎochī.,The dish made from my mother is tasty.,中国菜很好吃。,Zhōngguó cài hěn hǎochī.,Chinese food is tasty.
水,shuǐ,Noun,water,我有一杯水。,Wǒ yǒu yì bēi shuǐ.,I have a cup of water.,请问一杯水多少钱?,Qǐngwèn yì bēi shuǐ duōshǎo qián?,How much does a cup of water cost?
少,shǎo,Adj,few,我们家书很少。,Wǒmen jiā shū hěn shǎo.,We have very few books at home.,我们的照片很少。,Wǒmen de zhàopiàn hěn shǎo.,We have very few photos.
买单,mǎidān,Verb Object,to pay,服务员，请买单。,"Fúwùyuán, qǐng mǎidān.","Waiter, we want to pay.",这儿买单。,Zhèr mǎidān.,Pay here.
昨天,zuótiān,Noun,yesterday,昨天我跟我妈妈去看电影。,Zuótiān wǒ gēn wǒ māma qù kàn diànyǐng.,I went to watch a movie with my mother yesterday.,我们昨天去那家饭馆吃饭。,Wǒmen zuótiān qù nà jiā fànguǎn chīfàn.,We went to that restaurant having a meal yesterday.
明天,míngtiān,Noun,tomorrow,明天要不要去吃饭?,Míngtiān yàobúyào qù chīfàn?,Do you want to go and eat tomorrow?,我们明天去买东西。,Wǒmen míngtiān qù mǎi dōngxi,Tomorrow we will go and buy things.
什么时候,shénme shíhou,Phrase,when,你什么时候去看电影?,Nǐ shénme shíhou qù kàn diànyǐng?,When are you going to watch movie?,你什么时候起床?,Nǐ shénme shíhou qǐchuáng?,When do you get up?
上午,shàngwǔ,Noun,morning,我上午要上课。,Wǒ shàngwǔ yào shàngkè,I have classes in the morning.,他上午跟妹妹做菜。,Tā shàngwǔ gēn mèimei zuòcài.,He cooks with his younger sister in the morning.
星期,xīngqī,Noun,"Week, day of the week",星期一我们要上课。,Xīngqī yī wǒmen yào shàngkè.,We have class on Monday.,这个星期我们要去看电影。,Zhège xīngqī wǒmen yào qù kàn diànyǐng.,This week we are going to watch a movie.
起床,qǐchuáng,Verb Object,wake up,我八点起床。,Wǒ bādiǎn qǐchuáng.,I wake up at eight.,他七点起床，十点睡觉。,"Tā qīdiǎn qǐchuáng, shídiǎn shuìjiào.",He wakes up at seven and goes to sleep at ten.
早饭,zǎofàn,Noun,breakfast,我们九点吃早饭。,Wǒmen jiǔdiǎn chī zǎofàn.,We eat breakfast at nine.,我不吃早饭。,Wǒ bù chī zǎofàn.,I don’t eat breakfast.
睡觉,shuìjiào,Verb Object,sleep,我爸爸十点睡觉。,Wǒ bàba shídiǎn shuìjiào.,My dad sleeps at ten.,他不睡觉也不吃饭。,Tā bú shuìjiào yě bù chīfàn.,He doesn’t sleep or eat.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
上课,shàngkè,Verb Object,"go to class, attend class",我们明天要上课。,Wǒmen míngtiān yào shàngkè.,We have class tomorrow.,昨天我们去上课也去看电影。,Zuótiān wǒmen qù shàngkè yě qù kàn diànyǐng.,We went to class and also went to watch a movie yesterday.
想,xiǎng,Verb,"to want to ,to plan to/to think",我想跟你看电影。,Wǒ xiǎng gēn nǐ kàn diànyǐng.,I want to watch a movie with you.,我今天想吃中国菜。,Wǒ jīntiān xiǎng chī Zhōngguó cài.,I want to eat Chinese food today.
月,yuè,Measure word,month,明天是十二月六日。,Míngtiān shì shíèr yuè liù rì.,Tomorrow is December 6th.,"三月七日是我的生日,我想请你来我家。","Sānyuè qīrì shì wǒ de shēngrì, wǒ xiǎng qǐng nǐ lái wǒ jiā.","My birthday is on the seventh of March, I would like to invite you to my home."
日,rì,Measure word,day,今天是十二月五日。,Jīntiān shì shíèr yuè wǔ rì.,Today is December 5th.,圣诞节是十二月二十五日,Shèngdàn jié shì shí'èr yuè èrshíwǔ rì,Christmas is December 25th
下午,xiàwǔ,Noun,afternoon,你明天下午做什么?,Nǐ míngtiān xiàwǔ zuò shénme?,What are you going to do tomorrow afternoon?,你今天下午想做什么？,Nǐ jīntiān xiàwǔ xiǎng zuò shénme?,What do you want to do this afternoon?
晚上,wǎnshàng,Noun,evening,你明天晚上看电影吗?,Nǐ míngtiān wǎnshàng kàn diànyǐng ma?,Do you want to watch a movie tomorrow night?,我今天晚上没有空。,Wǒ jīntiān wǎnshàng méiyǒu kòng.,I'm not free tonight.
请,qǐng,Verb,"to treat, to invite",明天我请你去中国饭馆吃饭。,Míngtiān wǒ qǐng nǐ qù Zhōngguó fànguǎn chīfàn.,Tomorrow I'll treat you to a meal at a Chinese restaurant.,他想请你看电影。,Tā xiǎng qǐng nǐ kàn diànyǐng.,He wants to treat you to a movie.
来,lái,Verb,to come,他来我家吃饭。,Tā lái wǒ jiā chīfàn.,He came to my house and had a meal.,你什么时候来我家？,Nǐ shénme shíhou lái wǒ jiā?,When do you come to my place?
有空,yǒukòng,Verb,"have free time, to be free",你有空吗?,Nǐ yǒukòng ma?,Are you free?,他今天下午没有空。,Tā jīntiān xiàwǔ méiyǒu kòng.,He is not free this afternoon.
对不起,duìbùqǐ,Phrase,sorry,A: 对不起。 B: 没关系 。,A: Duìbùqǐ. B: Méiguānxi.,A: I am sorry.  B: It’s ok.,我只想说对不起。,Wǒ zhǐ xiǎng shuō duìbùqǐ.,I only want to say I'm sorry.
没关系,méiguānxi,Phrase,"that's ok, no problem",A: 对不起。 B: 没关系。,A: Duìbùqǐ. B: Méiguānxi.,A: I am sorry.  B: It’s ok.,A: 对不起，今天晚上我没空。 B: 没关系。,A: Duìbùqǐ，jīntiān wǎnshàng wǒ méi kòng. B: Méiguānxi.,"A: I am sorry, I don't have free time tonight. B: It’s ok."
生日,shēngrì,Noun,birthday,我的生日是二月十八号。,Wǒ de shēngrì shì èr yuè shíbā hào.,My birthday is February eighteenth.,今天是你的生日，我请你吃饭。,"Jīntiān shì nǐ de shēngrì, wǒ qǐng nǐ chīfàn.","It's your birthday today, I will treat you to a meal."
打球,dǎqiú,Verb Object,"to play ball games, ball sports",每个周末我都会跟朋友去打球,Měi gè zhōumò wǒ dūhuì gēn péngyou qù dǎqiú,I play basketball with my friends every weekend.,我周末常打球。,Wǒ zhōumò cháng dǎqiú.,I often play ball on weekends.
篮球,lánqiú,Noun,basketball,你打篮球吗?,Nǐ dǎ lánqiú ma?,Do you play basketball?,我们明天早起去打篮球，好不好?,"Wǒmen míngtiān zǎoqǐ qù dǎ lánqiú, hǎo bùhǎo?","Let’s wake up early tomorrow to play basketball, okay?"
球赛,qiúsài,Noun,"match, ball games",你喜欢看球赛吗?,Nǐ xǐhuan kàn qiúsài ma?,Do you like to watch sports matches?,你昨天看什么球赛?,Nǐ zuótiān kàn shénme qiúsài?,What ball game did you watch last night?
逛街,guàngjiē,Verb Object,shopping,他喜欢去逛街。,Tā xǐhuan qù guàngjiē.,She likes to go shopping.,你今天晚上有空去逛街吗？,Nǐ jīntiān wǎnshàng yǒu kòng qù guàngjiē ma?,Do you have time to go shopping tonight?
周末,zhōumò,Noun,weekend,周末他做什么?,Zhōumò tā zuò shénme?,What does he do on weekends?,星期五晚上运动的人很多，周末呢?,"Xīngqī wǔ wǎnshàng yùndòng de rén hěnduō, zhōumò ne?","A lot of people exercise on Friday evenings, how about the weekend?"
早起,zǎoqǐ,Verb,to wake up early,我喜欢早起去打球。,Wǒ xǐhuan zǎoqǐ qù dǎ qiú.,I like to wake up early to play the ball.,你是早起的人。,Nǐ shì zǎoqǐ de rén.,You are a person who always wakes up early.
觉得,juéde,Verb,"to feel,to think, to consider",我觉得做饭很好玩儿。,Wǒ juéde zuòfàn hěn hǎowánr.,I think cooking is fun.,你觉得学习中文好不好玩？,Nǐ juéde xuéxí Zhōngwén hǎo bùhǎo wán?,Do you think learning Chinese is fun or not?
好玩儿,hǎowán'er,Adj,"interesting, fun, enjoyable",打篮球很好玩儿。,Dǎ lánqiú hěn hǎowánr.,It’s fun to play basketball.,这个电脑游戏很好玩儿。,Zhège diànnǎo yóuxì hěn hǎowánr。,This computer game is fun.
运动,yùndòng,Noun,"exercise, to exercise",你喜欢什么运动?,Nǐ xǐhuan shénme yùndòng?,What sports do you like?,他常运动。,Tā cháng yùndòng.,He exercises often.
电影院,diànyǐngyuàn,Noun,cinema,我现在在电影院看电影。,Wǒ xiànzài zài diànyǐngyuàn kàn diànyǐng.,I am now at the cinema watching a movie.,你想什么时候去电影院？,Nǐ xiǎng shénme shíhou qù diànyǐngyuàn?,When do you want to go to a cinema?
学习,xuéxí,Verb,to study,他在中国学习中文。,Tā zài Zhōngguó xuéxí Zhōngwén.,He studies Chinese in China.,我喜欢在图书馆学习。,Wǒ xǐhuan zài túshūguǎn xuéxí.,I like to study in the library.
酒吧,jiǔba,Noun,bar,晚上我们去酒吧喝啤酒。,Wǎnshàng wǒmen qù jiǔbā hē píjiǔ.,We are going to a bar to drink beer at night.,我周末常去酒吧。,Wǒ zhōumò cháng qù jiǔba.,I often go to bars on weekends.
啤酒,píjiǔ,Noun,beer,我们一起喝啤酒。,Wǒmen yìqǐ hē píjiǔ。,We drink beer together.,那家酒吧的啤酒很不错！,Nà jiā jiǔba de píjiǔ hěn búcuò!,The beer at that bar is very good.
有意思,yǒuyìsi,Adj,"interesting, fun","我觉得出门很有意思! 我喜欢出门去运
动。",Wǒ juéde chūmén hěn yǒuyìsi! Wǒ xǐhuan chūmén qù yùndòng.,I think going out is fun! I like to go out to exercise.,我觉得学汉语很有意思。,Wǒ juédé xué hànyǔ hěn yǒuyìsi.,I think it's interesting to learn Chinese.
无聊,wúliáo,Adj,"boring,bored",他觉得出门太麻烦了，也觉得很无聊。,"Tā juéde chūmén tài máfán le, yě juéde hěn wúliáo.",He thinks going out is too troublesome and boring.,"我觉得看电影很无聊,我喜欢看书。","Wǒ juéde kàn diànyǐng hěn wúliáo, wǒ xǐhuan kàn shū.","I think watching movies is boring, I like to read books."
麻烦,máfán,Verb,"be annoyed,to bother, troublesome, annoying",我是一个麻烦的人。,Wǒ shì yí gè máfán de rén.,I am a troublesome person.,他觉得去电影院看电影很麻烦。,Tā juéde qù diànyǐngyuàn kàn diànyǐng hěn máfán.,He thinks going to watch movies at cinema is bothersome.
